filename,fileurl,kind,hex,r,g,b,percent
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#674637,103,70,55,18.49
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#8a3814,138,56,20,38.16
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#e9985b,233,152,91,43.36
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#281a1b,40,26,27,26.36
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#ab8361,171,131,97,71.22
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#93c003,147,192,3,2.42
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#f2ad6c,242,173,173,18.69
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#c73727,199,55,55,8.18
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#6a272b,106,39,39,25.46
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#c96b34,201,107,107,35.79
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#cca687,204,166,166,11.88
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#9ca7ae,156,167,174,34.37
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#3f4d59,63,77,89,41.92
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#77724c,119,114,76,23.71
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,foreground,#858663,133,134,99,25.81
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,foreground,#fc1c2f,252,28,47,41.87
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,foreground,#3b3e2a,59,62,42,32.31
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,image,#7d7853,125,120,120,23.6
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,image,#3f4d59,63,77,77,19.42
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,image,#adb1ad,173,177,177,12.51
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,image,#1f2319,31,35,35,26.6
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,image,#7d90a3,125,144,144,17.87
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,background,#b8cce1,184,204,225,56.1
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,background,#2e3726,46,55,38,26.2
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,background,#8da095,141,160,149,17.7
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,foreground,#899b8a,137,155,138,26.75
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,foreground,#212927,33,41,39,33.85
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,foreground,#526056,82,96,86,39.4
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,image,#b8cce1,184,204,204,42.35
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,image,#2f3731,47,55,55,26.73
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,image,#839689,131,150,150,24.29
japan_3,http://s5884.com/w/photodata_final_photos/japan_3.jpg,image,#35471f,53,71,71,6.43
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,background,#383361,56,51,97,49.44
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,background,#2c2125,44,33,37,34.71
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,background,#92583b,146,88,59,15.85
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,foreground,#c28e94,194,142,148,29.44
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,foreground,#5a486a,90,72,106,58.58
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,foreground,#f8ad6f,248,173,111,11.98
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,image,#3d3664,61,54,54,41.02
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,image,#784e44,120,78,78,15.21
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,image,#d38955,211,137,137,8.98
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,image,#342a17,52,42,42,19.17
japan_4,http://s5884.com/w/photodata_final_photos/japan_4.jpg,image,#99748d,153,116,116,15.61
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,background,#b2a9a2,178,169,162,44.78
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,background,#65a9e5,101,169,229,48.37
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,background,#44413d,68,65,61,6.85
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,foreground,#444246,68,66,70,43.36
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,foreground,#b4bac0,180,186,192,45.53
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,foreground,#7bbaeb,123,186,235,11.11
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,image,#717578,113,117,117,18.81
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,image,#66aae6,102,170,170,29.33
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,image,#b1a69d,177,166,166,23.79
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,image,#282326,40,35,35,12.14
japan_5,http://s5884.com/w/photodata_final_photos/japan_5.jpg,image,#cad4dd,202,212,212,15.93
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#c06732,192,103,50,55.63
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#451d2b,69,29,43,22.9
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,background,#e2b081,226,176,129,21.48
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#363735,54,55,53,38.28
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#b88f6a,184,143,106,57.5
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,foreground,#8d44b0,141,68,176,4.22
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#b95c29,185,92,92,31.55
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#bf3828,191,56,56,7.39
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#62242b,98,36,36,22.46
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#d0aa87,208,170,170,13.53
japan_1,http://s5884.com/w/photodata_final_photos/japan_1.jpg,image,#efa161,239,161,161,25.07
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#7a744e,122,116,78,23.51
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#929ea9,146,158,169,41.15
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,background,#39444e,57,68,78,35.34
japan_2,http://s5884.com/w/photodata_final_photos/japan_2.jpg,foreground,#8c9673,140,150,115,18.28
